* Measurement data measured by REW V5.19
* Source: /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 5, 2019 5:31:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 80.0 dB
* Note: Measurement imported from /mnt/tmp/Users/Niklas/Desktop/KITCHEN NO SMOOTH.txt Format: Comma/Tab/Space delimited data 60155 values loaded, 20 Hz to 22,049 Hz
* Measurement: KITCHEN NO SMOOTH.tx
* Smoothing: Variable
* Frequency Step: 0.25 Hz
* Start Frequency: 20.142 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.142 41.535 0.000
20.392 40.093 0.000
20.642 38.145 0.000
20.892 37.538 0.000
21.142 38.878 0.000
21.392 40.660 0.000
21.642 42.009 0.000
21.892 42.712 0.000
22.142 42.778 0.000
22.392 42.260 0.000
22.642 41.240 0.000
22.892 39.955 0.000
23.142 38.959 0.000
23.392 38.878 0.000
23.642 39.645 0.000
23.892 40.610 0.000
24.142 41.291 0.000
24.392 41.513 0.000
24.642 41.258 0.000
24.892 40.572 0.000
25.142 39.574 0.000
25.392 38.518 0.000
25.642 37.803 0.000
25.892 37.726 0.000
26.142 38.159 0.000
26.392 38.736 0.000
26.642 39.197 0.000
26.892 39.460 0.000
27.142 39.556 0.000
27.392 39.571 0.000
27.642 39.588 0.000
27.892 39.638 0.000
28.142 39.691 0.000
28.392 39.690 0.000
28.642 39.633 0.000
28.892 39.646 0.000
29.142 39.977 0.000
29.392 40.828 0.000
29.642 42.118 0.000
29.892 43.549 0.000
30.142 44.846 0.000
30.392 45.857 0.000
30.642 46.518 0.000
30.892 46.809 0.000
31.142 46.733 0.000
31.392 46.307 0.000
31.642 45.589 0.000
31.892 44.706 0.000
32.142 43.896 0.000
32.392 43.457 0.000
32.642 43.537 0.000
32.892 44.003 0.000
33.142 44.595 0.000
33.392 45.135 0.000
33.642 45.565 0.000
33.892 45.903 0.000
34.142 46.198 0.000
34.392 46.492 0.000
34.642 46.796 0.000
34.892 47.093 0.000
35.142 47.358 0.000
35.392 47.574 0.000
35.642 47.747 0.000
35.892 47.904 0.000
36.142 48.088 0.000
36.392 48.338 0.000
36.642 48.670 0.000
36.892 49.074 0.000
37.142 49.519 0.000
37.392 49.971 0.000
37.642 50.405 0.000
37.892 50.808 0.000
38.142 51.185 0.000
38.392 51.547 0.000
38.642 51.909 0.000
38.892 52.287 0.000
39.142 52.690 0.000
39.392 53.121 0.000
39.642 53.577 0.000
39.892 54.047 0.000
40.142 54.512 0.000
40.392 54.952 0.000
40.642 55.347 0.000
40.892 55.678 0.000
41.142 55.933 0.000
41.392 56.110 0.000
41.642 56.222 0.000
41.892 56.297 0.000
42.142 56.381 0.000
42.392 56.530 0.000
42.642 56.794 0.000
42.892 57.200 0.000
43.142 57.737 0.000
43.392 58.364 0.000
43.642 59.030 0.000
43.892 59.685 0.000
44.142 60.295 0.000
44.392 60.838 0.000
44.642 61.304 0.000
44.892 61.689 0.000
45.142 61.994 0.000
45.392 62.224 0.000
45.642 62.388 0.000
45.892 62.500 0.000
46.142 62.579 0.000
46.392 62.647 0.000
46.642 62.728 0.000
46.892 62.841 0.000
47.142 62.992 0.000
47.392 63.175 0.000
47.642 63.372 0.000
47.892 63.558 0.000
48.142 63.711 0.000
48.392 63.816 0.000
48.642 63.865 0.000
48.892 63.864 0.000
49.142 63.824 0.000
49.392 63.762 0.000
49.642 63.697 0.000
49.892 63.650 0.000
50.142 63.638 0.000
50.392 63.684 0.000
50.642 63.806 0.000
50.892 64.019 0.000
51.142 64.327 0.000
51.392 64.717 0.000
51.642 65.161 0.000
51.892 65.632 0.000
52.142 66.108 0.000
52.392 66.581 0.000
52.642 67.060 0.000
52.892 67.565 0.000
53.142 68.115 0.000
53.392 68.714 0.000
53.642 69.350 0.000
53.892 69.994 0.000
54.142 70.608 0.000
54.392 71.157 0.000
54.642 71.613 0.000
54.892 71.960 0.000
55.142 72.191 0.000
55.392 72.309 0.000
55.642 72.327 0.000
55.892 72.263 0.000
56.142 72.141 0.000
56.392 71.991 0.000
56.642 71.839 0.000
56.892 71.706 0.000
57.142 71.607 0.000
57.392 71.551 0.000
57.642 71.543 0.000
57.892 71.587 0.000
58.142 71.692 0.000
58.392 71.868 0.000
58.642 72.121 0.000
58.892 72.450 0.000
59.142 72.846 0.000
59.392 73.292 0.000
59.642 73.767 0.000
59.892 74.255 0.000
60.142 74.741 0.000
60.392 75.215 0.000
60.642 75.672 0.000
60.892 76.108 0.000
61.142 76.518 0.000
61.392 76.899 0.000
61.642 77.247 0.000
61.892 77.556 0.000
62.142 77.825 0.000
62.392 78.050 0.000
62.642 78.233 0.000
62.892 78.375 0.000
63.142 78.481 0.000
63.392 78.557 0.000
63.642 78.609 0.000
63.892 78.645 0.000
64.142 78.668 0.000
64.392 78.684 0.000
64.642 78.692 0.000
64.892 78.692 0.000
65.142 78.682 0.000
65.392 78.663 0.000
65.642 78.636 0.000
65.892 78.604 0.000
66.142 78.573 0.000
66.392 78.546 0.000
66.642 78.530 0.000
66.892 78.524 0.000
67.142 78.528 0.000
67.392 78.537 0.000
67.642 78.545 0.000
67.892 78.550 0.000
68.142 78.552 0.000
68.392 78.558 0.000
68.642 78.578 0.000
68.892 78.623 0.000
69.142 78.703 0.000
69.392 78.822 0.000
69.642 78.973 0.000
69.892 79.145 0.000
70.142 79.321 0.000
70.392 79.484 0.000
70.642 79.619 0.000
70.892 79.720 0.000
71.142 79.783 0.000
71.392 79.811 0.000
71.642 79.814 0.000
71.892 79.801 0.000
72.142 79.781 0.000
72.392 79.763 0.000
72.642 79.750 0.000
72.892 79.743 0.000
73.142 79.737 0.000
73.392 79.725 0.000
73.642 79.701 0.000
73.892 79.657 0.000
74.142 79.589 0.000
74.392 79.497 0.000
74.642 79.380 0.000
74.892 79.243 0.000
75.142 79.093 0.000
75.392 78.941 0.000
75.642 78.795 0.000
75.892 78.667 0.000
76.142 78.564 0.000
76.392 78.493 0.000
76.642 78.453 0.000
76.892 78.444 0.000
77.142 78.458 0.000
77.392 78.488 0.000
77.642 78.529 0.000
77.892 78.573 0.000
78.142 78.617 0.000
78.392 78.657 0.000
78.642 78.692 0.000
78.892 78.722 0.000
79.142 78.748 0.000
79.392 78.771 0.000
79.642 78.794 0.000
79.892 78.819 0.000
80.142 78.850 0.000
80.392 78.888 0.000
80.642 78.937 0.000
80.892 78.997 0.000
81.142 79.070 0.000
81.392 79.157 0.000
81.642 79.259 0.000
81.892 79.377 0.000
82.142 79.513 0.000
82.392 79.666 0.000
82.642 79.837 0.000
82.892 80.021 0.000
83.142 80.214 0.000
83.392 80.408 0.000
83.642 80.594 0.000
83.892 80.763 0.000
84.142 80.908 0.000
84.392 81.023 0.000
84.642 81.105 0.000
84.892 81.151 0.000
85.142 81.162 0.000
85.392 81.141 0.000
85.642 81.091 0.000
85.892 81.015 0.000
86.142 80.920 0.000
86.392 80.812 0.000
86.642 80.695 0.000
86.892 80.580 0.000
87.142 80.473 0.000
87.392 80.383 0.000
87.642 80.316 0.000
87.892 80.278 0.000
88.142 80.270 0.000
88.392 80.289 0.000
88.642 80.331 0.000
88.892 80.388 0.000
89.142 80.454 0.000
89.392 80.523 0.000
89.642 80.590 0.000
89.892 80.652 0.000
90.142 80.709 0.000
90.392 80.758 0.000
90.642 80.799 0.000
90.892 80.828 0.000
91.142 80.843 0.000
91.392 80.839 0.000
91.642 80.813 0.000
91.892 80.762 0.000
92.142 80.682 0.000
92.392 80.573 0.000
92.642 80.434 0.000
92.892 80.267 0.000
93.142 80.072 0.000
93.392 79.854 0.000
93.642 79.613 0.000
93.892 79.354 0.000
94.142 79.078 0.000
94.392 78.788 0.000
